id,Instance_number,Medu,address_U,Mjob_teacher,paid_yes,yes,Cluster
1,0,4,1,0,0,0,cluster4
2,1,1,1,0,0,1,cluster4
3,2,1,1,0,1,1,cluster1
4,3,4,1,0,1,1,cluster5
5,4,3,1,0,1,0,cluster1
6,5,4,1,0,1,1,cluster5
7,6,2,1,0,0,1,cluster4
8,7,4,1,0,0,0,cluster4
9,8,3,1,0,1,1,cluster1
10,9,3,1,0,1,1,cluster1
11,10,4,1,1,1,1,cluster5
12,11,2,1,0,0,1,cluster4
13,12,4,1,0,1,1,cluster5
14,13,4,1,1,1,1,cluster5
15,14,2,1,0,0,1,cluster4
16,15,4,1,0,0,1,cluster4
17,16,4,1,0,1,1,cluster5
18,17,3,1,0,0,0,cluster4
19,18,3,1,0,0,1,cluster4
20,19,4,1,0,1,1,cluster5
21,20,4,1,1,0,1,cluster4
22,21,4,1,0,1,1,cluster5
23,22,4,1,1,0,1,cluster4
24,23,2,1,0,0,1,cluster4
25,24,2,0,0,1,1,cluster0
26,25,2,1,0,1,1,cluster1
27,26,2,1,0,1,1,cluster1
28,27,4,1,0,1,1,cluster5
29,28,3,1,0,0,1,cluster4
30,29,4,1,1,1,1,cluster5
31,30,4,1,0,1,1,cluster5
32,31,4,1,0,0,1,cluster4
33,32,4,0,1,0,1,cluster4
34,33,3,1,0,0,1,cluster4
35,34,3,1,0,1,1,cluster1
36,35,2,1,0,0,0,cluster4
37,36,4,1,1,0,1,cluster4
38,37,4,0,0,0,1,cluster4
39,38,3,0,0,1,1,cluster0
40,39,2,0,0,1,0,cluster0
41,40,2,1,0,0,1,cluster4
42,41,4,1,1,0,1,cluster4
43,42,4,1,0,0,1,cluster4
44,43,2,1,0,0,1,cluster4
45,44,2,1,0,0,1,cluster4
46,45,4,1,0,1,1,cluster5
47,46,3,1,0,0,1,cluster4
48,47,4,1,0,0,1,cluster4
49,48,4,1,1,1,0,cluster5
50,49,4,1,0,0,1,cluster4
51,50,2,1,0,1,1,cluster1
52,51,4,1,0,1,1,cluster5
53,52,4,1,0,0,0,cluster4
54,53,4,1,0,1,1,cluster5
55,54,3,1,0,1,1,cluster1
56,55,2,1,0,1,1,cluster1
57,56,4,1,0,1,1,cluster5
58,57,4,1,1,0,0,cluster4
59,58,1,1,0,0,1,cluster4
60,59,4,1,0,0,1,cluster4
61,60,4,0,0,0,0,cluster4
62,61,1,1,0,0,1,cluster4
63,62,1,1,0,0,1,cluster4
64,63,4,1,1,1,1,cluster5
65,64,4,1,0,0,1,cluster4
66,65,4,1,1,0,1,cluster4
67,66,4,1,0,0,1,cluster4
68,67,3,1,0,1,1,cluster1
69,68,2,0,0,1,1,cluster0
70,69,3,0,0,0,1,cluster4
71,70,3,1,0,1,1,cluster1
72,71,4,1,0,0,1,cluster4
73,72,1,0,0,0,1,cluster4
74,73,3,1,0,0,0,cluster4
75,74,3,1,0,1,1,cluster1
76,75,4,1,1,1,1,cluster5
77,76,4,1,1,0,1,cluster4
78,77,2,1,0,1,1,cluster1
79,78,2,1,0,0,1,cluster4
80,79,3,1,0,0,1,cluster4
81,80,2,1,0,1,1,cluster1
82,81,2,1,0,1,1,cluster1
83,82,3,1,0,1,1,cluster1
84,83,2,1,0,1,1,cluster1
85,84,1,1,0,0,1,cluster4
86,85,4,1,0,1,1,cluster5
87,86,2,1,0,0,0,cluster4
88,87,4,1,0,0,1,cluster4
89,88,2,1,0,1,1,cluster1
90,89,4,1,1,0,0,cluster4
91,90,3,1,0,1,1,cluster1
92,91,4,1,0,1,1,cluster5
93,92,3,1,0,0,0,cluster4
94,93,4,1,1,1,1,cluster5
95,94,2,1,0,0,1,cluster4
96,95,1,0,0,1,1,cluster0
97,96,4,0,0,0,1,cluster4
98,97,2,1,0,1,0,cluster1
99,98,4,1,0,0,1,cluster4
100,99,4,1,0,1,1,cluster5
101,100,4,1,0,1,1,cluster5
102,101,4,1,0,0,1,cluster4
103,102,4,1,0,0,1,cluster4
104,103,3,1,0,1,1,cluster1
105,104,3,1,0,1,1,cluster1
106,105,3,1,0,0,0,cluster4
107,106,2,1,0,1,1,cluster1
108,107,3,1,0,0,1,cluster4
109,108,4,0,0,1,1,cluster0
110,109,4,1,0,1,1,cluster5
111,110,4,1,1,0,1,cluster4
112,111,3,0,0,0,1,cluster4
113,112,2,1,0,0,1,cluster4
114,113,4,1,1,0,1,cluster4
115,114,2,0,0,0,1,cluster4
116,115,4,1,1,0,1,cluster4
117,116,4,1,0,0,0,cluster4
118,117,3,1,0,0,1,cluster4
119,118,1,0,0,0,1,cluster4
120,119,3,1,0,0,1,cluster4
121,120,1,1,0,0,1,cluster4
122,121,2,1,0,1,1,cluster1
123,122,2,1,0,1,1,cluster1
124,123,4,1,0,0,1,cluster4
125,124,2,1,0,1,1,cluster1
126,125,3,1,0,0,1,cluster4
127,126,3,1,0,0,1,cluster4
128,127,0,1,0,0,0,cluster4
129,128,2,0,0,0,1,cluster4
130,129,4,0,1,1,1,cluster5
131,130,3,0,0,0,1,cluster4
132,131,1,1,0,0,1,cluster4
133,132,2,1,0,0,1,cluster4
134,133,3,1,0,0,1,cluster4
135,134,3,0,0,0,0,cluster4
136,135,4,1,0,0,1,cluster4
137,136,3,0,0,0,0,cluster4
138,137,3,1,0,0,1,cluster4
139,138,1,1,0,0,0,cluster4
140,139,4,1,1,0,1,cluster4
141,140,4,1,1,0,1,cluster4
142,141,2,1,0,0,1,cluster4
143,142,4,1,1,1,1,cluster5
144,143,1,1,0,0,1,cluster4
145,144,2,1,0,0,1,cluster4
146,145,1,1,0,1,1,cluster1
147,146,3,1,0,0,1,cluster4
148,147,1,1,0,1,1,cluster1
149,148,4,1,1,0,1,cluster4
150,149,2,1,0,0,1,cluster4
151,150,1,1,0,0,1,cluster4
152,151,2,1,0,0,0,cluster4
153,152,3,0,0,1,1,cluster0
154,153,3,1,0,0,1,cluster4
155,154,4,1,0,0,0,cluster4
156,155,2,0,0,1,0,cluster0
157,156,1,0,0,0,0,cluster4
158,157,1,0,0,0,0,cluster4
159,158,2,0,0,0,0,cluster4
160,159,3,1,0,1,1,cluster1
161,160,2,0,0,0,1,cluster4
162,161,3,0,0,0,1,cluster4
163,162,1,1,0,0,0,cluster4
164,163,1,1,0,0,1,cluster4
165,164,1,0,0,0,0,cluster4
166,165,3,1,0,0,0,cluster4
167,166,2,1,0,0,1,cluster4
168,167,4,1,0,1,1,cluster5
169,168,2,1,0,1,1,cluster1
170,169,4,1,0,1,1,cluster5
171,170,3,1,0,0,1,cluster4
172,171,1,1,0,1,1,cluster1
173,172,4,1,1,1,1,cluster5
174,173,1,1,0,0,1,cluster4
175,174,3,1,0,1,1,cluster1
176,175,4,1,1,1,1,cluster5
177,176,2,1,0,1,1,cluster1
178,177,3,1,0,0,1,cluster4
179,178,4,0,1,0,1,cluster4
180,179,4,1,0,0,1,cluster4
181,180,4,1,1,1,1,cluster5
182,181,3,1,0,1,1,cluster1
183,182,2,1,0,0,0,cluster4
184,183,3,1,0,0,1,cluster4
185,184,3,1,0,1,1,cluster1
186,185,3,1,0,0,1,cluster4
187,186,1,1,0,1,1,cluster1
188,187,2,1,0,1,1,cluster1
189,188,3,1,0,0,1,cluster4
190,189,1,0,0,0,0,cluster4
191,190,2,1,0,0,1,cluster4
192,191,1,1,0,0,1,cluster4
193,192,1,1,0,1,1,cluster1
194,193,3,0,0,0,1,cluster4
195,194,2,1,0,0,1,cluster4
196,195,2,1,0,0,1,cluster4
197,196,4,1,0,0,1,cluster4
198,197,3,0,1,1,1,cluster5
199,198,4,1,0,0,1,cluster4
200,199,4,1,1,1,1,cluster5
201,200,4,1,0,0,1,cluster4
202,201,2,1,0,1,0,cluster1
203,202,1,1,0,1,0,cluster1
204,203,2,0,0,0,1,cluster4
205,204,2,0,0,1,1,cluster0
206,205,3,1,0,1,1,cluster1
207,206,3,1,0,1,1,cluster1
208,207,4,1,1,1,1,cluster5
209,208,1,1,0,1,0,cluster1
210,209,4,0,1,1,1,cluster5
211,210,3,1,0,1,1,cluster1
212,211,4,1,0,1,1,cluster5
213,212,2,1,0,1,1,cluster1
214,213,2,1,0,1,1,cluster1
215,214,4,0,0,1,0,cluster0
216,215,3,1,0,1,1,cluster1
217,216,4,1,0,1,1,cluster5
218,217,3,1,0,1,1,cluster1
219,218,2,1,0,1,0,cluster1
220,219,2,1,0,1,1,cluster1
221,220,2,0,0,0,1,cluster4
222,221,1,1,0,0,0,cluster4
223,222,2,1,0,0,1,cluster4
224,223,2,1,0,1,1,cluster1
225,224,4,1,1,0,1,cluster4
226,225,3,0,0,0,1,cluster4
227,226,3,1,0,0,1,cluster4
228,227,2,1,0,1,1,cluster1
229,228,2,1,0,1,1,cluster1
230,229,2,1,0,0,1,cluster4
231,230,4,1,0,0,1,cluster4
232,231,2,0,0,1,1,cluster0
233,232,4,1,1,0,1,cluster4
234,233,4,1,0,1,1,cluster5
235,234,1,1,0,1,1,cluster1
236,235,3,1,0,0,1,cluster4
237,236,2,1,0,1,1,cluster1
238,237,2,1,0,0,1,cluster4
239,238,2,0,0,0,0,cluster4
240,239,2,1,0,0,1,cluster4
241,240,4,1,0,0,1,cluster4
242,241,4,0,1,1,1,cluster5
243,242,4,1,1,0,1,cluster4
244,243,4,1,0,0,1,cluster4
245,244,2,1,0,1,1,cluster1
246,245,2,1,0,0,1,cluster4
247,246,2,1,0,0,1,cluster4
248,247,3,1,0,0,1,cluster4
249,248,3,0,0,0,1,cluster4
250,249,0,1,0,1,1,cluster1
251,250,3,1,0,0,1,cluster4
252,251,3,1,0,0,1,cluster4
253,252,2,1,0,0,1,cluster4
254,253,2,0,0,0,0,cluster4
255,254,2,0,0,0,1,cluster4
256,255,1,1,0,0,1,cluster4
257,256,4,1,1,1,1,cluster5
258,257,4,1,0,0,1,cluster4
259,258,2,1,0,0,1,cluster4
260,259,2,1,0,1,1,cluster1
261,260,4,1,0,1,1,cluster5
262,261,4,1,1,1,1,cluster5
263,262,3,0,0,0,0,cluster4
264,263,3,1,0,0,0,cluster4
265,264,2,1,0,1,1,cluster1
266,265,3,0,0,1,1,cluster0
267,266,3,1,0,1,1,cluster1
268,267,4,0,1,1,1,cluster5
269,268,4,1,0,1,1,cluster5
270,269,2,0,0,0,1,cluster4
271,270,3,1,0,1,1,cluster1
272,271,2,1,0,1,1,cluster1
273,272,1,1,0,1,0,cluster1
274,273,1,0,0,1,0,cluster0
275,274,2,1,0,1,1,cluster1
276,275,2,1,0,1,1,cluster1
277,276,3,0,0,0,1,cluster4
278,277,4,1,1,1,1,cluster5
279,278,4,1,0,0,1,cluster4
280,279,4,1,1,1,1,cluster5
281,280,4,1,0,1,1,cluster5
282,281,3,1,1,0,1,cluster4
283,282,1,0,0,1,0,cluster0
284,283,1,1,0,0,1,cluster4
285,284,2,1,0,0,1,cluster4
286,285,1,1,0,1,1,cluster1
287,286,2,1,0,1,1,cluster1
288,287,1,1,0,1,1,cluster1
289,288,2,1,0,1,1,cluster1
290,289,4,1,1,1,1,cluster5
291,290,4,1,1,1,1,cluster5
292,291,4,1,0,1,1,cluster5
293,292,2,1,0,0,1,cluster4
294,293,3,0,0,1,0,cluster0
295,294,3,0,0,1,1,cluster0
296,295,3,1,0,1,1,cluster1
297,296,4,1,0,1,1,cluster5
298,297,4,1,0,1,1,cluster5
299,298,4,1,0,1,1,cluster5
300,299,4,1,1,1,1,cluster5
301,300,4,1,0,0,1,cluster4
302,301,4,1,0,1,1,cluster5
303,302,4,1,0,1,1,cluster5
304,303,3,1,0,1,1,cluster1
305,304,3,1,0,0,1,cluster4
306,305,2,1,0,1,1,cluster1
307,306,3,1,0,0,0,cluster4
308,307,4,1,1,1,1,cluster5
309,308,3,0,0,0,0,cluster4
310,309,1,1,0,0,1,cluster4
311,310,1,1,0,0,0,cluster4
312,311,2,1,0,0,1,cluster4
313,312,1,1,0,0,1,cluster4
314,313,3,1,0,1,1,cluster1
315,314,1,1,0,0,1,cluster4
316,315,2,0,0,0,1,cluster4
317,316,2,1,0,1,1,cluster1
318,317,4,1,0,1,1,cluster5
319,318,3,0,0,1,1,cluster0
320,319,4,1,1,1,1,cluster5
321,320,4,1,0,1,1,cluster5
322,321,2,1,0,0,0,cluster4
323,322,2,0,0,1,1,cluster0
324,323,3,1,0,0,1,cluster4
325,324,0,1,0,0,1,cluster4
326,325,4,1,0,0,1,cluster4
327,326,3,1,0,0,1,cluster4
328,327,2,0,0,0,1,cluster4
329,328,4,1,1,1,1,cluster5
330,329,4,1,1,1,1,cluster5
331,330,2,1,0,0,1,cluster4
332,331,2,0,0,0,1,cluster4
333,332,3,1,0,0,1,cluster4
334,333,2,1,0,0,1,cluster4
335,334,2,0,0,0,0,cluster4
336,335,3,1,0,0,1,cluster4
337,336,3,0,0,1,0,cluster0
338,337,3,1,0,1,1,cluster1
339,338,3,1,0,0,1,cluster4
340,339,3,0,0,1,1,cluster0
341,340,2,1,0,1,1,cluster1
342,341,4,1,1,0,1,cluster4
343,342,3,1,0,0,1,cluster4
344,343,2,1,0,0,1,cluster4
345,344,2,1,0,0,1,cluster4
346,345,3,1,0,0,1,cluster4
347,346,4,0,1,0,1,cluster4
348,347,4,1,1,1,1,cluster5
349,348,4,1,0,1,1,cluster5
350,349,3,0,0,0,1,cluster4
351,350,1,0,0,0,1,cluster4
352,351,3,1,0,1,1,cluster1
353,352,1,1,0,0,1,cluster4
354,353,1,0,0,0,1,cluster4
355,354,4,0,0,1,1,cluster0
356,355,3,1,0,0,0,cluster4
357,356,4,0,1,1,1,cluster5
358,357,3,1,0,0,0,cluster4
359,358,1,1,0,0,1,cluster4
360,359,1,1,0,0,1,cluster4
361,360,1,0,0,0,0,cluster4
362,361,1,0,0,0,0,cluster4
363,362,3,1,0,0,1,cluster4
364,363,4,1,0,1,1,cluster5
365,364,1,0,0,0,0,cluster4
366,365,1,0,0,1,0,cluster0
367,366,4,1,1,1,1,cluster5
368,367,1,0,0,1,1,cluster0
369,368,2,1,0,1,1,cluster1
370,369,4,0,0,1,1,cluster0
371,370,3,1,0,0,0,cluster4
372,371,1,0,0,1,1,cluster0
373,372,2,1,0,0,0,cluster4
374,373,1,0,0,0,1,cluster4
375,374,4,0,0,0,1,cluster4
376,375,1,0,0,0,1,cluster4
377,376,4,1,0,1,1,cluster5
378,377,4,0,1,1,1,cluster5
379,378,3,1,0,1,1,cluster1
380,379,3,0,0,1,1,cluster0
381,380,4,1,1,1,1,cluster5
382,381,2,0,0,0,1,cluster4
383,382,2,1,0,0,1,cluster4
384,383,1,0,0,0,0,cluster4
385,384,4,0,0,1,0,cluster0
386,385,2,0,0,1,0,cluster0
387,386,4,0,1,1,1,cluster5
388,387,2,0,0,0,1,cluster4
389,388,3,1,1,1,1,cluster5
390,389,1,1,0,0,0,cluster4
391,390,2,1,0,1,0,cluster1
392,391,3,1,0,0,1,cluster4
393,392,1,0,0,0,0,cluster4
394,393,3,0,0,0,1,cluster4
395,394,1,1,0,0,1,cluster4
