id,Instance_number,Medu,address_U,Mjob_teacher,paid_yes,yes,Cluster
1,0,4,1,0,0,0,cluster0
2,1,1,1,0,0,1,cluster2
3,2,1,1,0,1,1,cluster1
4,3,4,1,0,1,1,cluster1
5,4,3,1,0,1,0,cluster1
6,5,4,1,0,1,1,cluster1
7,6,2,1,0,0,1,cluster2
8,7,4,1,0,0,0,cluster0
9,8,3,1,0,1,1,cluster1
10,9,3,1,0,1,1,cluster1
11,10,4,1,1,1,1,cluster3
12,11,2,1,0,0,1,cluster2
13,12,4,1,0,1,1,cluster1
14,13,4,1,1,1,1,cluster3
15,14,2,1,0,0,1,cluster2
16,15,4,1,0,0,1,cluster0
17,16,4,1,0,1,1,cluster1
18,17,3,1,0,0,0,cluster0
19,18,3,1,0,0,1,cluster0
20,19,4,1,0,1,1,cluster1
21,20,4,1,1,0,1,cluster0
22,21,4,1,0,1,1,cluster1
23,22,4,1,1,0,1,cluster0
24,23,2,1,0,0,1,cluster2
25,24,2,0,0,1,1,cluster1
26,25,2,1,0,1,1,cluster1
27,26,2,1,0,1,1,cluster1
28,27,4,1,0,1,1,cluster1
29,28,3,1,0,0,1,cluster0
30,29,4,1,1,1,1,cluster3
31,30,4,1,0,1,1,cluster1
32,31,4,1,0,0,1,cluster0
33,32,4,0,1,0,1,cluster0
34,33,3,1,0,0,1,cluster0
35,34,3,1,0,1,1,cluster1
36,35,2,1,0,0,0,cluster2
37,36,4,1,1,0,1,cluster0
38,37,4,0,0,0,1,cluster2
39,38,3,0,0,1,1,cluster1
40,39,2,0,0,1,0,cluster1
41,40,2,1,0,0,1,cluster2
42,41,4,1,1,0,1,cluster0
43,42,4,1,0,0,1,cluster0
44,43,2,1,0,0,1,cluster2
45,44,2,1,0,0,1,cluster2
46,45,4,1,0,1,1,cluster1
47,46,3,1,0,0,1,cluster0
48,47,4,1,0,0,1,cluster0
49,48,4,1,1,1,0,cluster3
50,49,4,1,0,0,1,cluster0
51,50,2,1,0,1,1,cluster1
52,51,4,1,0,1,1,cluster1
53,52,4,1,0,0,0,cluster0
54,53,4,1,0,1,1,cluster1
55,54,3,1,0,1,1,cluster1
56,55,2,1,0,1,1,cluster1
57,56,4,1,0,1,1,cluster1
58,57,4,1,1,0,0,cluster0
59,58,1,1,0,0,1,cluster2
60,59,4,1,0,0,1,cluster0
61,60,4,0,0,0,0,cluster2
62,61,1,1,0,0,1,cluster2
63,62,1,1,0,0,1,cluster2
64,63,4,1,1,1,1,cluster3
65,64,4,1,0,0,1,cluster0
66,65,4,1,1,0,1,cluster0
67,66,4,1,0,0,1,cluster0
68,67,3,1,0,1,1,cluster1
69,68,2,0,0,1,1,cluster1
70,69,3,0,0,0,1,cluster2
71,70,3,1,0,1,1,cluster1
72,71,4,1,0,0,1,cluster0
73,72,1,0,0,0,1,cluster2
74,73,3,1,0,0,0,cluster0
75,74,3,1,0,1,1,cluster1
76,75,4,1,1,1,1,cluster3
77,76,4,1,1,0,1,cluster0
78,77,2,1,0,1,1,cluster1
79,78,2,1,0,0,1,cluster2
80,79,3,1,0,0,1,cluster0
81,80,2,1,0,1,1,cluster1
82,81,2,1,0,1,1,cluster1
83,82,3,1,0,1,1,cluster1
84,83,2,1,0,1,1,cluster1
85,84,1,1,0,0,1,cluster2
86,85,4,1,0,1,1,cluster1
87,86,2,1,0,0,0,cluster2
88,87,4,1,0,0,1,cluster0
89,88,2,1,0,1,1,cluster1
90,89,4,1,1,0,0,cluster0
91,90,3,1,0,1,1,cluster1
92,91,4,1,0,1,1,cluster1
93,92,3,1,0,0,0,cluster0
94,93,4,1,1,1,1,cluster3
95,94,2,1,0,0,1,cluster2
96,95,1,0,0,1,1,cluster1
97,96,4,0,0,0,1,cluster2
98,97,2,1,0,1,0,cluster1
99,98,4,1,0,0,1,cluster0
100,99,4,1,0,1,1,cluster1
101,100,4,1,0,1,1,cluster1
102,101,4,1,0,0,1,cluster0
103,102,4,1,0,0,1,cluster0
104,103,3,1,0,1,1,cluster1
105,104,3,1,0,1,1,cluster1
106,105,3,1,0,0,0,cluster0
107,106,2,1,0,1,1,cluster1
108,107,3,1,0,0,1,cluster0
109,108,4,0,0,1,1,cluster1
110,109,4,1,0,1,1,cluster1
111,110,4,1,1,0,1,cluster0
112,111,3,0,0,0,1,cluster2
113,112,2,1,0,0,1,cluster2
114,113,4,1,1,0,1,cluster0
115,114,2,0,0,0,1,cluster2
116,115,4,1,1,0,1,cluster0
117,116,4,1,0,0,0,cluster0
118,117,3,1,0,0,1,cluster0
119,118,1,0,0,0,1,cluster2
120,119,3,1,0,0,1,cluster0
121,120,1,1,0,0,1,cluster2
122,121,2,1,0,1,1,cluster1
123,122,2,1,0,1,1,cluster1
