id,Instance_number,-0.361G2-0.35G3-0.347G1-0.288Medu+0.285failures...,0.393Dalc+0.384Walc+0.325sex_M-0.249studytime+0.225goout...,'0.374G2+0.37,-0.457Fjob_other+0.418Fjob_services-0.306guardian_mother+0.294guardian_other+0.236Mjob_services...,0.382guardian_other+0.329absences+0.279age+0.242paid_yes+0.225romantic_yes...,-0.473address_U+0.374school_MS+0.326traveltime-0.303reason_home+0.215Mjob_teacher...,'0.38,0.345freetime+0.297famrel+0.291activities_yes-0.276guardian_mother+0.262guardian_other...,-0.4Pstatus_T-0.366paid_yes+0.318reason_reputation-0.3reason_home+0.283absences...,'0.469Mjob_health+0.398Fjob_health+0.35,'0.4,-0.417Mjob_services+0.357Mjob_other+0.318Fjob_services-0.315health-0.279famsup_yes...,'-0.477famsize_LE3+0.347reason_other-0.309Fjob_health-0.261traveltime+0.24,-0.422famrel-0.274freetime+0.269Pstatus_T-0.254school_MS-0.239goout...,'0.49,0.372Mjob_teacher-0.344Mjob_health-0.328goout+0.299Fjob_health-0.282higher_yes...,0.395activities_yes+0.384romantic_yes+0.301famsize_LE3+0.257reason_other-0.248famrel...,0.509nursery_yes-0.353activities_yes-0.346higher_yes+0.298famsup_yes-0.256reason_other...,'-0.388studytime+0.35,'-0.349Fjob_health-0.329schoolsup_yes-0.321reason_home+0.27,'-0.54nursery_yes+0.29,0.542Pstatus_T+0.345famsize_LE3+0.285famrel-0.269freetime+0.227address_U...,'0.475freetime+0.33,-0.331Fjob_health+0.328health-0.29romantic_yes-0.262school_MS-0.258sex_M...,0.412traveltime-0.319Fjob_teacher-0.314famsize_LE3-0.242age-0.239paid_yes...,-0.442schoolsup_yes-0.34studytime+0.309Fjob_teacher+0.303higher_yes-0.268Medu...,0.384romantic_yes-0.373famsup_yes+0.333higher_yes+0.301failures-0.234activities_yes...,'0.361paid_yes+0.345address_U+0.315health-0.273famsize_LE3+0.27,-0.621failures-0.244Mjob_other+0.241freetime+0.227sex_M-0.219Fedu...,-0.372address_U-0.362studytime-0.334Medu-0.274school_MS-0.27sex_M...,-0.431famsup_yes+0.374paid_yes-0.329age+0.277freetime-0.259sex_M...,0.488sex_M-0.446Dalc+0.438goout-0.242activities_yes-0.229address_U...,0.468guardian_mother+0.362guardian_other-0.295school_MS-0.243Mjob_teacher+0.223Fedu...,yes,Cluster
1,0,0.07252,-0.505672,-2.99783,0.016006,-0.481672,0.41887,-2.771748,-0.361891,2.674086,0.180442,1.229825,-0.155389,1.097963,-2.621157,-1.090181,-1.550199,-1.068803,-0.509319,0.132077,-0.92044,0.463982,0.111784,-0.857431,1.43868,-0.538462,-0.167577,0.282159,1.225634,1.570597,-0.191477,-0.225418,0.029594,0.765034,0,cluster4
2,1,2.317841,-2.475163,-0.241263,0.155563,-0.472696,-0.840621,0.056213,0.927823,-0.942551,0.348571,-0.211455,-0.764589,0.695785,-0.219883,-1.246592,0.544823,-0.834481,-0.895521,-0.019163,0.639847,1.051574,1.063893,-0.28072,0.462179,0.456751,0.063491,-0.639097,-1.022505,1.015916,0.476481,-0.539567,-0.24021,-1.509758,1,cluster1
3,2,2.191909,-0.695592,-0.436524,-0.396783,-1.214019,-0.933344,0.747749,-2.897909,0.378529,1.188339,0.032929,-0.46728,0.634958,-1.035938,-0.948663,2.15024,1.805089,-1.212673,0.686474,-0.939396,-0.929537,-0.082214,0.462483,2.002285,-1.022769,0.04743,2.169297,-0.446628,-2.047573,-0.681999,1.105163,-0.268295,-0.914331,1,cluster0
4,3,-3.157676,-0.867347,-0.440795,1.606324,0.194073,-0.569122,-0.173483,-1.411551,-2.262469,1.062512,-1.318344,0.291287,-0.659673,1.955161,1.789757,-1.572936,0.817652,0.616709,0.295791,0.062595,1.279952,-0.958055,0.120791,0.614765,-0.817234,-0.248007,0.493106,0.46269,0.083496,-0.598213,0.041572,-0.404485,0.465912,1,cluster0
5,4,0.168475,-1.941325,-0.642861,-0.753857,1.00333,-1.135269,-1.157206,-0.088642,-1.889424,0.454316,0.805023,-0.737951,-0.106349,0.048216,0.20974,0.339442,-0.558336,0.83608,0.472495,1.042984,-0.983143,0.067745,0.249761,-0.055306,-0.016301,-0.012526,-0.858383,-0.031539,-0.273874,0.15576,1.182243,-0.56538,-0.374843,0,cluster1
6,5,-2.800509,0.251183,0.609921,-0.895565,-0.14792,-0.704255,1.950204,0.669738,1.290812,-1.250002,-0.542883,-1.470282,-0.63198,0.4707,0.35177,0.862747,0.294398,0.052703,0.669657,1.04969,-0.719376,0.772093,0.674702,-0.724966,-1.009894,0.208721,-0.306105,-0.039589,-0.24345,-0.746457,0.447232,-0.143567,0.247126,1,cluster1
7,6,0.137461,-0.697667,1.67971,-2.128373,-0.337362,-1.744876,-1.173948,-0.220763,-0.394429,-0.523359,-0.907177,0.581473,-0.615518,-1.187436,-0.545027,-0.368496,0.16063,0.50965,-0.502224,-0.455394,-0.280179,0.157154,0.239401,-0.189211,-0.077928,0.179171,-0.093572,-1.072995,0.033458,-0.292171,0.402088,0.968081,0.656639,1,cluster1
8,7,-0.0693,-1.79237,-3.223503,-0.229734,0.52845,0.173345,-3.801027,-1.370314,1.687898,-0.096927,2.544489,0.50483,1.09808,-1.970755,-1.02917,-1.680045,-0.932081,0.347364,0.74436,-1.312738,0.781173,0.160807,-1.863806,0.061011,-1.181594,0.439727,-0.315095,0.352029,0.462405,-0.580904,-1.103802,0.205084,0.325155,0,cluster4
9,8,-3.214849,-0.660215,2.021728,-0.762549,0.240037,-1.648033,-0.673813,-2.747273,0.83193,-1.327203,0.258205,-1.859705,-0.930208,-0.098567,-1.539561,0.270783,0.252493,0.147796,0.803622,0.190727,0.652868,-1.477203,-1.368861,-1.580997,-0.705301,0.178814,0.126513,-0.507156,-0.079838,0.008631,-0.185124,0.528338,-0.549612,1,cluster0
10,9,-2.307078,-0.796097,0.754659,-1.947682,-0.263986,-1.569547,-0.799004,1.595622,-1.482801,-0.241281,0.216595,-0.925968,-0.134246,0.006813,1.343914,0.743642,0.445736,0.756878,0.949505,0.240743,-0.285465,-1.152199,0.752127,-1.286521,-0.656782,0.407431,-0.399231,-0.002675,-0.516398,-0.140762,0.678875,-0.848346,0.985894,1,cluster1
