'0.516Parks/Picnic Spots+0.488Juice Bars+0.486Resorts+0.404Museums+0.226Restaurants...','0.627Theaters+0.504Beaches-0.314Juice Bars+0.283Museums-0.259Art Galleries...','-0.63Dance Clubs+0.568Art Galleries+0.466Beaches+0.157Resorts+0.112Parks/Picnic Spots...','0.721Restaurants+0.503Art Galleries-0.331Juice Bars+0.183Dance Clubs-0.168Parks/Picnic Spots...','-0.595Museums+0.514Theaters+0.42 Parks/Picnic Spots-0.33Resorts+0.233Juice Bars...','-0.576Restaurants+0.482Art Galleries-0.433Beaches+0.399Theaters+0.263Dance Clubs...','-0.643Dance Clubs-0.532Beaches+0.388Theaters-0.27Art Galleries+0.204Museums...','0.724Resorts-0.569Museums-0.244Juice Bars-0.214Art Galleries-0.118Restaurants...',Good
2.078494,-0.102305,-0.175499,-0.006873,1.156668,0.570864,-0.444846,0.443264,0
5.182901,-0.314053,-0.523623,0.042276,1.089426,1.38036,-0.389106,0.645561,0
-1.488261,-1.435209,0.949039,0.525743,0.439641,-0.07666,0.070358,0.640163,0
-1.142543,0.858564,-1.156227,-0.245391,0.784495,-0.965371,-0.831734,0.494,0
0.743816,-0.221744,-0.688077,-0.666198,-1.445136,-0.907557,0.609367,-0.201362,0
-1.889445,0.201681,0.186795,-0.356403,-0.088491,0.566321,-0.16555,-0.515249,1
-1.557284,-0.903167,-0.939358,0.102291,-1.23466,0.673524,0.330795,0.182922,1
-1.688968,0.29443,-0.747165,-0.006855,-0.551037,0.134303,0.209898,0.018475,0
0.356889,-0.403007,-0.289562,0.903367,-0.202229,0.37083,-0.730629,0.321177,0
-1.082808,2.010201,-0.509247,-0.431544,-0.607157,1.129796,1.231542,-0.887294,1
1.224179,0.725476,1.815765,1.529967,-1.526993,0.347348,0.333255,-0.06583,0
-0.625396,1.666013,-1.796967,0.835487,-0.56245,1.251731,-2.428939,0.101317,1
2.193237,-1.079804,0.203752,-1.666179,1.272609,-0.523884,-0.713166,-0.437479,0
1.633069,1.398565,-0.207996,-1.32318,1.587842,0.342125,0.259264,-0.947729,0
3.349916,0.535122,0.484376,-0.458996,1.093419,0.881996,-0.222139,0.553031,0
2.198904,-0.44127,-0.961701,0.463093,-0.295969,1.339597,-1.618488,-0.89806,0
-1.307266,-2.35558,-0.165213,-0.966502,1.025464,-0.104474,-0.128919,0.254644,0
2.587449,-0.1871,-0.273546,-1.315687,0.65139,-1.633112,-1.898032,-0.954896,0
1.31866,1.085846,0.26885,-0.44887,-0.47116,0.469902,0.07273,2.24426,0
1.418685,-0.69186,0.797479,-0.98266,-0.064601,-1.131676,-0.303857,-0.26145,0
0.53664,-1.02339,-0.605747,-0.260014,-1.408555,0.2082,-0.074034,0.341482,0
-0.967509,-0.366803,-0.587539,0.513439,-1.848564,0.375432,-0.074384,0.49321,1
-2.303834,-0.336397,-0.557744,0.356407,-1.623957,0.381142,0.640401,-0.506065,1
-1.359329,0.510916,-1.442825,-0.213166,-0.512789,0.385217,0.998937,-0.174723,1
0.281045,0.07862,0.998593,0.505012,0.03497,0.894246,0.951371,-0.187919,0
1.827684,-1.429456,-3.145504,-0.60293,1.891426,1.330259,-1.035199,-0.353332,0
2.887736,-1.241562,-1.132335,0.201163,-0.32009,0.228164,0.480986,0.472277,0
0.130641,-0.917146,0.045009,0.197916,-0.521259,-0.22905,-0.156472,0.047778,0
-2.613802,-0.413501,-1.360466,-0.364024,0.323697,0.168283,1.063622,-0.374695,0
4.519426,-0.293423,0.496761,-1.690712,-0.506273,0.04854,0.67841,0.409298,0
2.321756,-0.842526,0.188254,-1.075819,0.971273,-0.213478,0.013471,0.549499,0
1.984431,-1.363953,-1.837786,-0.184235,0.747629,0.240937,-0.897889,0.406912,0
2.550282,1.171921,-1.003657,-0.900719,-0.813244,0.57955,-0.031759,-1.035661,0
0.003934,1.240165,0.947858,0.796519,-0.253124,0.322968,0.388305,0.86574,0
-1.057553,1.128172,0.691018,-0.481646,0.468888,0.569897,0.235807,-0.530529,1
-0.801963,0.284794,1.048093,-0.730981,0.496277,-0.565267,-0.213522,-0.226207,0
-1.263437,-0.433682,-0.527925,-0.901663,1.305733,0.341198,0.335204,-0.119812,0
-0.939486,0.441911,0.343997,0.042675,1.08513,0.28313,-0.102161,-0.732201,1
1.996281,-0.630132,-0.080098,-1.037175,1.792221,-0.641709,-0.437655,-0.353939,0
-1.73395,-0.507855,1.106185,1.235152,1.120644,0.231734,-0.335407,0.42927,0
-0.877871,-1.00569,-0.710703,0.070044,-2.601396,0.939057,0.584037,0.161657,1
-3.03084,0.018897,-1.661091,0.018438,-0.294419,0.195738,0.52936,-0.206881,1
-0.443389,-0.185496,-0.320325,-1.005139,-0.998199,-0.074772,-0.016275,0.41955,0
-0.387601,1.117479,-0.481219,0.981175,1.080582,0.956353,-0.717699,0.718031,0
-0.411417,2.239485,0.147193,0.153841,0.739413,-0.721409,-0.805913,0.880963,0
-1.689476,0.095233,1.336073,1.214218,0.041728,1.612365,-0.732059,-0.749305,1
-0.879464,2.538708,0.576898,-1.632358,0.830901,-0.900094,0.217048,-0.484661,1
-0.197635,-0.247267,0.356097,-0.631019,-0.183593,0.131625,-0.145341,0.137008,0
-0.606018,1.047401,-2.81881,-0.15808,0.404371,0.10406,-2.353238,0.469119,0
1.940756,-1.510488,-0.59751,-0.720302,-0.019921,-0.440743,1.129959,0.059931,0
-1.256273,0.398364,0.501916,0.104072,-1.476012,-0.00599,-0.343371,0.006411,1
0.358705,-0.268072,-1.351444,-1.153974,0.771819,0.030847,0.829559,-0.608111,0
1.894616,1.277599,-1.552261,0.262755,-2.127275,1.531896,1.391628,-1.467492,1
-0.421465,-0.697307,1.093149,-0.140828,-0.057833,-0.183773,0.761651,0.2253,0
-1.579488,-0.079877,-0.04875,0.876497,-0.049139,0.346088,0.43554,0.386562,1
-1.930288,0.36388,-1.02397,-0.612324,-0.530638,-0.553798,-0.811242,-0.640405,1
1.88079,-0.604939,0.597663,-0.955769,0.289298,-0.459578,-0.08231,0.180667,0
-0.632596,-0.404008,-0.233159,-0.157035,-0.012238,0.258679,-0.469215,0.240169,0
3.43333,-0.325212,0.287769,-0.907362,0.059392,-0.623853,0.397716,0.675057,0
1.071272,0.410129,-0.064066,0.294022,-0.649301,-0.012566,0.258376,0.518004,0
4.655746,-1.445284,-0.285611,-0.310413,-0.332158,1.006866,-0.586174,0.67517,0
-2.701846,-1.827015,2.537185,1.199459,0.434081,0.102613,-1.987456,-0.700598,0
-1.868892,0.35111,0.067801,0.101268,1.637797,0.480164,0.687174,0.018081,0
-1.56336,0.766342,-0.353786,-0.909339,0.47366,-1.399549,-1.474738,0.256732,1
-0.456814,-0.138147,1.37734,0.302779,-0.651072,0.682642,-0.396629,-0.521682,1
-0.858263,-0.887426,1.56867,1.258004,0.345516,0.556104,0.535657,0.567947,0
-0.809061,-2.419662,-0.029099,-0.787449,1.09429,-0.211051,-0.801848,-0.306827,1
-0.86507,-0.956345,0.089019,-0.01242,-0.293795,-0.252743,0.36434,0.048564,0
-0.16464,-1.25663,-0.518432,-1.756955,-0.38947,-0.805162,0.205227,-0.614186,0
-0.823056,-0.368013,-1.244755,-0.482906,0.377005,-0.24245,0.386017,0.062381,0
-1.305422,-1.504901,1.591802,1.458096,0.067319,0.09826,-0.135381,-0.017254,0
2.617117,-1.834378,0.584433,-0.367515,1.441311,-1.621023,0.029896,-0.323868,0
-0.621465,1.844613,-1.67177,0.626328,-0.565207,1.042943,-0.241829,-0.287635,0
0.46605,-1.077452,0.526784,-1.02886,0.237668,-0.017764,-0.026588,-0.238966,1
0.869275,-0.513732,1.041549,0.374609,0.801696,0.481431,-0.593651,0.032107,0
2.135794,-0.37802,-2.194848,0.163841,-0.093011,1.396848,-1.898502,-0.780298,0
-0.887061,-0.363321,0.826068,0.220629,0.857832,0.966438,0.258148,-0.638303,1
2.259815,-0.365712,-0.425791,-0.371419,0.785573,0.062379,-0.36696,-0.084665,0
-2.241618,-1.056555,-0.384868,-0.423092,-0.286635,-0.095312,0.191828,-0.218536,1
-0.952864,-0.589084,-0.565442,0.236514,-1.712886,-0.180307,0.677525,1.573051,0
-1.864482,-0.346103,3.232887,1.380841,-0.278173,1.092966,-1.453778,-0.47214,1
-0.416995,0.451135,-0.183532,-0.275265,0.696306,0.233092,0.34567,0.424016,0
-1.312638,-0.164252,-2.059089,3.336273,2.048813,-1.393478,1.85286,-0.778537,1
-0.516534,-1.120313,1.228823,0.518671,-0.497837,-0.418727,-0.451978,0.508118,0
-0.470378,-0.320798,3.73004,1.008732,0.128333,0.950996,0.367722,-0.377024,0
-1.505118,0.676271,-1.060431,-0.065738,-0.626931,0.319318,-0.715385,0.15137,1
-0.63919,-1.24634,-0.409444,1.230496,0.772371,-1.572292,1.482517,0.510891,0
-2.697559,-0.89109,-0.822562,-0.470638,-0.320708,-0.610596,0.288808,-0.11544,1
0.761746,-0.096876,-2.796477,3.386937,0.010434,-2.192325,-0.24527,-0.332075,0
-0.156341,0.36683,-1.332847,-0.08495,0.508618,-0.058279,-0.95918,-0.06738,0
-0.78854,-0.29886,0.922417,0.764431,0.439739,0.822016,0.272508,-0.788376,1
-2.645347,0.31047,-0.619079,-0.35548,0.246168,-0.873826,0.247453,-0.325073,0
2.678334,-0.35157,-0.39977,-0.039724,0.09506,1.067697,-0.670534,-0.679017,0
3.43333,-0.325212,0.287769,-0.907362,0.059392,-0.623853,0.397716,0.675057,0
3.233858,-0.260986,-0.786341,0.244166,-0.85011,0.825326,-0.147507,-0.526805,0
-1.161307,-0.324008,1.255574,0.160528,-0.365107,-0.575715,-0.744008,0.765254,0
1.797383,-0.321719,0.187859,-0.488863,1.014327,0.390649,0.066565,0.007854,0
-0.4149,-0.525991,1.37892,-0.934073,-0.208239,-0.476564,0.41758,0.36814,0
1.510324,-0.018648,1.397164,-0.820124,1.628971,0.403129,0.837293,-0.756298,0
0.218061,4.250158,-0.504938,0.279755,-0.448551,1.642686,2.038696,-1.520564,1
-0.567735,0.719501,0.783094,0.117466,0.07648,-0.061386,0.463498,0.742333,0
-1.642131,0.593388,0.00785,-0.837156,0.820843,-0.446669,0.184099,-0.228558,1
2.211288,0.053865,-0.462541,0.634497,-0.145779,0.318491,-1.3362,1.15795,0
-1.705667,-0.548582,-0.682997,0.194064,0.985636,0.634718,0.96212,-0.164725,0
-2.478695,-0.482432,1.574947,0.604824,0.557113,0.797419,-0.05108,-0.341002,1
1.463277,-1.852935,0.720663,-1.618834,2.445473,0.201211,0.528107,0.084826,0
0.617485,1.717709,2.068794,0.171308,-0.159318,0.442288,1.403366,0.418733,0
-2.679868,-0.978795,-0.619939,0.408665,-1.395727,0.185153,0.249289,-0.608386,1
-1.431251,-1.710938,2.722058,0.716224,-2.663237,0.382634,0.897994,-0.976687,1
1.385048,2.110006,-0.941169,0.309991,-0.063083,1.195938,-0.019795,-0.431175,0
0.958424,1.866439,0.170741,0.295069,2.111855,0.456206,-0.223616,-0.33587,0
-0.569769,-1.334731,0.344261,-1.004426,-0.039938,-0.312636,-0.389268,-0.204896,0
0.01589,0.783547,-0.858725,0.841612,0.249752,0.466054,-0.000349,-0.274118,0
-0.201537,0.51145,-0.368854,-1.505238,-0.22657,-1.713298,-0.617667,-0.498012,0
