Source_0,Source_1,Source_2,Source_3,Source_4,Source_5,Source_6,Source_7,Source_8,Source_9,Source_10,Source_11,Source_12,Source_13,Source_14,Source_15,Source_16,Source_17,Source_18,Source_19,Source_20,Source_21,Source_22,Source_23,Source_24,Source_25,Source_26,Source_27,Source_28,Source_29,Source_30,Source_31,Source_32,Source_33,Source_34,Source_35,Source_36,Source_37,Source_38,Source_39,Source_40,yes
-0.045043,-0.060599,0.038395,-0.061165,0.009301,-0.043402,0.045199,0.044312,0.032676,-0.128373,0.032526,0.019523,0.041232,-0.058754,-0.045369,0.005988,0.076891,-0.006721,0.10392,-0.151793,-0.033887,-0.029229,0.004998,0.012006,-0.020913,0.028441,-0.11889,0.033702,0.006654,-0.048135,0.14596,-0.110022,-0.05432,-0.045569,0.01449,0.014983,0.046388,0.043218,-0.02676,-0.024344,-0.009529,0
0.016516,0.043417,0.004049,-0.037127,-0.013079,0.069827,0.081441,-0.033968,0.01196,0.027618,0.091376,0.118999,0.072977,-0.041941,0.003671,0.018954,-0.053577,-0.083055,-0.034513,-0.082125,0.006356,-0.024596,-0.060055,-0.039426,-0.006872,-0.025945,-0.012273,-0.036955,0.001758,0.013344,0.027071,-0.039401,-0.057525,0.002755,-0.039499,0.035254,0.046076,0.015236,0.00284,-0.012905,-0.017909,1
0.013158,-0.051446,0.107672,-0.065614,-0.082558,0.034695,0.096551,-0.103879,0.026238,0.019583,-0.031266,0.003556,-0.042319,0.067448,-0.009067,-0.020334,0.004231,0.16578,-0.026437,-0.008989,0.017695,0.048995,-0.043548,-0.101117,0.003482,0.049901,-0.155607,0.002814,0.042988,-0.024089,0.042957,0.077907,-0.044276,0.035548,-0.0942,0.067051,-0.059912,-0.042497,0.009887,0.000329,0.068772,1
-0.028343,-0.040878,-0.057004,-0.02889,0.121096,-0.01997,0.035619,-0.075146,-0.002382,-0.001356,0.008061,-0.004447,0.006944,0.024141,0.016604,0.058558,-0.018098,0.039725,0.03595,0.046707,-0.063541,0.055011,0.06058,0.0242,-0.065531,0.021568,0.019757,-0.001735,-0.020688,0.077154,-0.05184,0.077687,-0.008859,-0.012821,0.000897,-0.112999,0.021192,-0.001964,-0.036934,-0.033984,0.022536,1
-0.017188,-0.000914,-0.026307,-0.015316,0.029341,0.000586,0.032909,-0.079156,0.077895,0.030141,-0.008845,0.035201,0.039219,0.00114,0.050221,0.00869,0.022228,-0.01384,0.032538,-0.043998,0.021802,-0.016824,0.009739,0.020236,-0.009558,0.0168,0.069001,-0.016804,-0.020142,-0.01667,0.010875,-0.065707,-0.002311,0.05335,-0.046558,0.024717,-0.071874,0.028879,0.091047,0.016747,0.005752,0
0.015304,0.033278,-0.028493,0.014662,-0.029677,0.031467,-0.041757,0.009505,0.033106,0.017692,-0.018094,-0.085206,-0.005278,-0.00725,-0.000381,0.017534,-0.032943,0.094019,0.050368,-0.044609,0.009512,-0.029646,0.015637,-0.025719,0.0462,-0.039591,0.010724,0.073626,-0.014601,0.032097,-0.048753,0.055958,-0.00544,0.066176,-0.001244,0.028607,0.032711,0.019223,0.0636,0.02593,-0.003288,1
-0.07552,-0.019469,0.004732,0.030514,0.012774,0.005657,-0.008988,0.002742,0.028898,-0.025964,0.007517,-0.05516,0.001878,-0.032049,0.005367,-0.040632,-0.034527,-0.014184,-0.053628,0.041033,0.065142,0.029857,0.033306,-0.052091,0.013687,-0.02298,0.028559,0.019971,-0.025138,0.007208,0.030616,-0.013547,-0.072389,0.031157,0.009737,0.034142,-0.055738,0.046934,-0.045644,-0.003477,0.018274,1
-0.055693,-0.090036,0.050969,-0.082213,-0.010885,-0.090285,-0.043512,-0.01815,0.029566,-0.135924,0.015701,0.030851,0.033866,-0.103321,-0.0138,-0.008241,0.041959,-0.014014,-0.035768,-0.060463,-0.043466,-0.001369,-0.024538,0.076441,0.013981,0.052643,-0.01073,0.049278,-0.031617,-0.015186,0.133109,-0.065716,-0.046785,-0.046173,0.02763,-0.062067,0.002472,-0.043437,-0.013748,-0.055715,-0.059726,0
-0.050679,0.012128,0.034483,0.002783,0.00604,-0.050222,-0.008995,-0.007819,0.034205,-0.056944,0.015471,0.001192,0.040294,-0.104202,0.034251,0.004796,-0.012609,0.07434,-0.065394,0.068494,0.034056,0.030107,-0.093194,0.036205,0.019788,0.025365,0.017395,0.061793,-0.027141,0.003238,-0.071615,0.000947,-0.070992,0.065427,-0.012963,-0.018253,0.079235,0.012913,0.013125,0.039773,0.056925,1
-0.038825,0.027581,-0.003918,0.067012,0.028441,-0.015886,0.037141,-0.091799,0.016855,-0.017577,0.006807,-0.097874,-0.025887,0.03355,0.039097,0.026316,-0.033403,0.039604,0.070804,0.043634,0.01446,-0.025354,-0.009326,-0.034044,0.018473,-0.015434,0.064712,0.057866,-0.027766,0.004183,0.026511,0.008223,-0.005853,0.023719,0.055856,0.008818,-0.04276,-0.005768,0.117056,0.040531,0.024658,1
