K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,yes
27.712813,-19.052559,-17.320508,-13.856406,1.732051,3.464102,3.464102,-55.425626,24.248711,-13.856406,0
19.052559,-17.320508,-19.052559,-8.660254,-1.732051,-1.732051,3.464102,-57.157677,13.856406,-17.320508,1
24.248711,-10.392305,-25.980762,-22.51666,1.732051,6.928203,1.732051,-72.746134,29.444864,-15.588457,1
34.641016,-12.124356,-45.033321,-8.660254,-5.196152,-27.712813,0,-77.942286,39.837169,-20.78461,1
31.176915,-13.856406,-22.51666,-12.124356,-8.660254,-1.732051,5.196152,-62.353829,27.712813,-15.588457,0
43.30127,-12.124356,-53.693575,-20.78461,-8.660254,-5.196152,1.732051,-95.262794,50.229473,-24.248711,1
34.641016,-17.320508,-36.373067,-6.928203,-1.732051,-13.856406,6.928203,-69.282032,22.51666,-29.444864,1
22.51666,-22.51666,-17.320508,-17.320508,3.464102,0,1.732051,-53.693575,29.444864,-13.856406,0
41.569219,-20.78461,-46.765372,-5.196152,0,-25.980762,0,-84.87049,34.641016,-36.373067,1
45.033321,-12.124356,-36.373067,-6.928203,-10.392305,-17.320508,6.928203,-74.478185,38.105118,-25.980762,1
29.444864,-13.856406,-20.78461,1.732051,0,-13.856406,0,-50.229473,25.980762,-15.588457,1
34.641016,-6.928203,-34.641016,-8.660254,-6.928203,-15.588457,0,-76.210236,22.51666,-27.712813,1
39.837169,-13.856406,-39.837169,-8.660254,-3.464102,-20.78461,1.732051,-74.478185,41.569219,-19.052559,1
32.908965,-10.392305,-24.248711,-5.196152,-1.732051,-6.928203,0,-60.621778,27.712813,-20.78461,1
43.30127,-15.588457,-41.569219,-5.196152,-3.464102,-19.052559,8.660254,-83.138439,31.176915,-39.837169,1
41.569219,-20.78461,-45.033321,-10.392305,1.732051,-13.856406,3.464102,-79.674337,36.373067,-27.712813,1
39.837169,-17.320508,-48.497423,-12.124356,0,-15.588457,-1.732051,-83.138439,41.569219,-24.248711,1
36.373067,-10.392305,-24.248711,-10.392305,-8.660254,-5.196152,1.732051,-64.08588,24.248711,-20.78461,0
24.248711,-12.124356,-31.176915,-31.176915,5.196152,24.248711,3.464102,-72.746134,41.569219,-6.928203,1
27.712813,-15.588457,-25.980762,-13.856406,-5.196152,-10.392305,1.732051,-64.08588,31.176915,-8.660254,1
