K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,Good
9.87269,10.063215,-1.385641,3.117691,10.58283,1.073872,9.491638,-7.084088,3.117691,-14.479945,0
10.271061,11.24101,-2.459512,3.810512,11.015843,1.108513,10.167138,-8.417767,4.399409,-13.717842,0
6.703037,8.1926,-0.415692,1.385641,12.089715,0.917987,6.443229,-2.320948,1.749371,-11.033164,0
6.616434,9.023985,-0.796743,3.117691,12.765214,0.987269,6.010216,-3.619986,1.645448,-12.28024,0
7.84619,10.2191,-2.667358,2.078461,11.777945,0.987269,7.551742,-4.122281,2.511474,-10.859959,0
6.720357,9.647523,-1.281718,2.217025,11.431535,0.467654,6.737678,-3.464102,1.71473,-11.622061,1
5.611845,9.093267,-1.489564,2.355589,12.384163,0.554256,5.940934,-2.805922,2.182384,-9.612882,1
5.958255,9.578241,-1.420282,2.424871,12.574689,0.710141,5.871652,-2.805922,1.887935,-10.704074,0
7.742267,9.370395,-1.420282,3.048409,12.245599,1.108513,7.309254,-4.849742,2.598076,-11.223689,0
5.715768,11.968471,-2.598076,2.355589,12.661291,0.450333,5.871652,-2.73664,2.217025,-10.825318,1
7.517101,11.25833,-2.875204,1.732051,14.081573,1.299038,6.720357,-2.944486,3.481422,-9.179869,0
6.235383,9.89001,-1.524205,5.12687,13.665881,0.658179,5.992896,-5.629165,2.944486,-10.756036,1
10.513548,9.630202,-1.69741,2.494153,8.764177,0.779423,10.305702,-7.257293,2.234346,-14.687791,0
9.751446,11.691343,-2.182384,2.840563,9.612882,0.779423,9.456997,-6.772319,2.199705,-15.294009,0
9.734126,11.119766,-2.078461,2.909845,11.379574,0.883346,9.508959,-6.876242,4.035678,-14.150855,0
8.660254,10.496228,-2.528794,4.364768,10.825318,0.866025,8.573651,-7.413177,2.73664,-11.067805,0
8.365805,7.603703,-0.103923,1.801333,9.093267,0.588897,8.556331,-4.849742,1.316359,-13.683201,0
10.721394,9.855369,-2.320948,3.39482,9.578241,1.143154,9.855369,-7.707626,1.939897,-13.735163,0
7.967434,10.028574,-1.420282,2.355589,13.96033,0.658179,7.863511,-4.711178,5.196152,-13.336791,0
9.716805,9.682164,-2.04382,1.801333,10.392305,1.004589,9.162549,-5.43864,2.424871,-12.921099,0
7.326575,9.422356,-2.078461,2.494153,12.020433,0.710141,7.447818,-4.43405,3.06573,-10.392305,0
5.715768,9.318433,-1.835974,2.494153,13.596599,0.727461,5.733088,-2.73664,2.875204,-8.972023,1
5.958255,9.56092,-1.766692,2.009179,12.072394,0.710141,5.975575,-2.511474,1.645448,-9.664844,1
5.923614,10.253741,-1.766692,2.494153,12.193638,0.710141,6.010216,-3.013768,1.818653,-10.998523,1
7.724947,10.738715,-1.905256,1.662769,11.812587,0.935307,7.49978,-3.654627,2.563435,-11.60474,0
10.080536,9.266472,-0.969948,4.919024,7.707626,0.831384,10.374984,-9.768767,1.801333,-15.519175,0
9.630202,10.063215,-2.217025,2.909845,10.669433,1.299038,9.405036,-6.789639,3.273576,-12.62665,0
7.967434,9.249151,-1.628128,2.217025,11.518138,1.02191,7.621024,-4.330127,2.268987,-11.223689,0
